ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.006367568,0,0,0,7,49,0,0,SE,18
8.242756346,0,0,0,9,81,0,1,SE,20
8.160518247,0,0,0,11,121,0,0,SE,20
8.517193191,0,0,0,13,169,0,0,SE,28
8.517193191,0,0,0,26,676,1,0,SE,35
8.006367568,0,0,0,22,484,0,0,SE,33
7.60090246,0,0,0,20,400,1,0,SE,31
8.29404964,0,0,0,10,100,1,0,SE,25
7.972466016,1,1,1,10,100,0,1,SE,32
8.612503371,0,0,0,24,576,0,0,SE,35
8.517193191,0,0,0,12,144,0,0,SE,23
8.160518247,0,0,0,7,49,1,0,SE,18
8.503094267,0,0,0,8,64,1,1,SE,19
9.424644975,0,0,0,17,289,1,1,SE,35
8.762489547,0,0,0,13,169,0,1,SE,28
8.29404964,0,0,0,12,144,1,1,SE,27
8.006367568,0,0,0,6,36,0,0,SE,17
8.160518247,0,0,0,6,36,0,0,SE,17
8.476371197,0,0,0,5,25,0,0,SE,20
8.29404964,0,0,0,17,289,0,1,SE,28
8.411832676,0,0,0,19,361,1,0,SE,34
8.411832676,0,0,0,19,361,1,0,SE,34
6.907755279,0,0,0,1,1,0,0,SE,16
7.495541944,0,0,0,5,25,1,0,SE,16
8.517193191,0,0,0,18,324,0,0,SE,33
8.411832676,0,0,0,2,4,1,0,SE,17
7.549609165,0,0,0,14,196,1,0,SE,25
7.60090246,0,1,0,2,4,0,1,SE,22
8.070906089,0,0,0,15,225,1,0,SE,30
8.160518247,0,0,0,4,16,1,0,SE,19
9.047821442,0,1,0,7,49,0,1,SE,27
8.699514748,0,0,0,12,144,0,1,SE,27
8.699514748,0,0,0,7,49,1,1,SE,22
9.61580548,0,0,0,17,289,0,1,SE,35
8.29404964,0,0,0,13,169,1,1,SE,31
8.411832676,0,0,0,23,529,0,0,SE,34
8.779557456,0,0,0,6,36,0,1,SE,24
8.987196821,0,0,0,5,25,0,1,SE,16
8.999619341,0,1,0,12,144,0,1,SE,33
8.779557456,0,0,0,23,529,0,1,SE,34
8.853665428,0,0,0,15,225,1,1,SE,26
9.210340372,0,0,0,8,64,1,0,SE,26
8.853665428,0,0,0,6,36,0,1,SE,24
8.699514748,0,0,0,13,169,1,1,SE,31
8.411832676,0,0,0,16,256,0,0,SE,27
8.853665428,0,0,0,9,81,1,0,SE,27
8.517193191,0,0,0,13,169,1,0,SE,31
8.779557456,0,0,0,17,289,1,1,SE,35
8.779557456,0,0,0,17,289,1,1,SE,35
